Date : 2023-03-05 23:59:12
Directory : d:\Development\Collaborative_development\flugo\flugo_mobile\lib
Total : 96 files,  4690 codes, 483 comments, 664 blanks, all 5837 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |         96 |      4,690 |        483 |        664 |      5,837 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                 |         96 |      4,690 |        483 |        664 |      5,837 |
| . (Files)                                                                                                                                         |          1 |          5 |          0 |          2 |          7 |
| src                                                                                                                                               |         95 |      4,685 |        483 |        662 |      5,830 |
| src (Files)                                                                                                                                       |          1 |         55 |          2 |          3 |         60 |
| src\apis                                                                                                                                          |          2 |         78 |          9 |         25 |        112 |
| src\blocs                                                                                                                                         |         20 |        597 |        172 |        179 |        948 |
| src\blocs\authentication_blocs                                                                                                                    |          8 |        290 |         78 |         78 |        446 |
| src\blocs\authentication_blocs (Files)                                                                                                            |          2 |         47 |         16 |         15 |         78 |
| src\blocs\authentication_blocs\sign_in_bloc                                                                                                       |          3 |         93 |         26 |         26 |        145 |
| src\blocs\authentication_blocs\sign_up_bloc                                                                                                       |          3 |        150 |         36 |         37 |        223 |
| src\blocs\home_bloc                                                                                                                               |          3 |        112 |         32 |         35 |        179 |
| src\blocs\joke_create_bloc                                                                                                                        |          4 |         98 |         31 |         32 |        161 |
| src\blocs\nav_bar_cubit                                                                                                                           |          2 |         11 |          6 |          7 |         24 |
| src\blocs\user_bloc                                                                                                                               |          3 |         86 |         25 |         27 |        138 |
| src\repositories                                                                                                                                  |          7 |        178 |         59 |         52 |        289 |
| src\repositories (Files)                                                                                                                          |          2 |         49 |         11 |         17 |         77 |
| src\repositories\models                                                                                                                           |          5 |        129 |         48 |         35 |        212 |
| src\repositories\models\joke                                                                                                                      |          2 |         39 |         20 |         12 |         71 |
| src\repositories\models\user                                                                                                                      |          3 |         90 |         28 |         23 |        141 |
| src\shared                                                                                                                                        |          6 |        163 |         45 |         49 |        257 |
| src\shared (Files)                                                                                                                                |          4 |         97 |         31 |         30 |        158 |
| src\shared\components                                                                                                                             |          2 |         66 |         14 |         19 |         99 |
| src\views                                                                                                                                         |         59 |      3,614 |        196 |        354 |      4,164 |
| src\views\auth_views                                                                                                                              |         15 |        949 |         66 |         94 |      1,109 |
| src\views\auth_views (Files)                                                                                                                      |          2 |        281 |          8 |         15 |        304 |
| src\views\auth_views\components                                                                                                                   |         13 |        668 |         58 |         79 |        805 |
| src\views\root                                                                                                                                    |         44 |      2,665 |        130 |        260 |      3,055 |
| src\views\root (Files)                                                                                                                            |          1 |         70 |          2 |          5 |         77 |
| src\views\root\components                                                                                                                         |          2 |        124 |          7 |          9 |        140 |
| src\views\root\home                                                                                                                               |         23 |      1,306 |         65 |        128 |      1,499 |
| src\views\root\home (Files)                                                                                                                       |          1 |         57 |          2 |          6 |         65 |
| src\views\root\home\components                                                                                                                    |         16 |        979 |         46 |         91 |      1,116 |
| src\views\root\home\components (Files)                                                                                                            |          9 |        537 |         25 |         57 |        619 |
| src\views\root\home\components\filter_options_menu                                                                                                |          7 |        442 |         21 |         34 |        497 |
| src\views\root\home\joke_view                                                                                                                     |          6 |        270 |         17 |         31 |        318 |
| src\views\root\home\joke_view (Files)                                                                                                             |          1 |         48 |          3 |          5 |         56 |
| src\views\root\home\joke_view\components                                                                                                          |          5 |        222 |         14 |         26 |        262 |
| src\views\root\profile                                                                                                                            |         11 |        738 |         36 |         67 |        841 |
| src\views\root\profile (Files)                                                                                                                    |          1 |         87 |          5 |          9 |        101 |
| src\views\root\profile\components                                                                                                                 |         10 |        651 |         31 |         58 |        740 |
| src\views\root\write                                                                                                                              |          7 |        427 |         20 |         51 |        498 |
| src\views\root\write (Files)                                                                                                                      |          1 |        102 |          2 |         10 |        114 |
| src\views\root\write\components                                                                                                                   |          6 |        325 |         18 |         41 |        384 |
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                          | language | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\main.dart                                                                         | Dart     |          5 |          0 |          2 |          7 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\apis\authentication_api.dart                                                  | Dart     |         48 |          6 |         15 |         69 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\apis\jokes_api.dart                                                           | Dart     |         30 |          3 |         10 |         43 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\app.dart                                                                      | Dart     |         55 |          2 |          3 |         60 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\authentication_blocs\form_submission_status.dart                        | Dart     |         12 |         12 |          6 |         30 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\authentication_blocs\sign_in_bloc\sign_in_bloc.dart                     | Dart     |         57 |          4 |         11 |         72 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\authentication_blocs\sign_in_bloc\sign_in_event.dart                    | Dart     |         11 |         11 |          7 |         29 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\authentication_blocs\sign_in_bloc\sign_in_state.dart                    | Dart     |         25 |         11 |          8 |         44 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\authentication_blocs\sign_up_bloc\sign_up_bloc.dart                     | Dart     |        100 |          4 |         16 |        120 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\authentication_blocs\sign_up_bloc\sign_up_event.dart                    | Dart     |         16 |         18 |         10 |         44 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\authentication_blocs\sign_up_bloc\sign_up_state.dart                    | Dart     |         34 |         14 |         11 |         59 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\authentication_blocs\validation_mixin.dart                              | Dart     |         35 |          4 |          9 |         48 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\home_bloc\home_bloc.dart                                                | Dart     |         54 |          3 |         12 |         69 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\home_bloc\home_event.dart                                               | Dart     |         20 |         15 |         12 |         47 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\home_bloc\home_state.dart                                               | Dart     |         38 |         14 |         11 |         63 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\joke_create_bloc\joke_create_bloc.dart                                  | Dart     |         46 |          3 |          9 |         58 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\joke_create_bloc\joke_create_event.dart                                 | Dart     |         19 |         14 |         11 |         44 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\joke_create_bloc\joke_create_state.dart                                 | Dart     |         26 |          7 |          7 |         40 |
