Date : 2023-02-28 15:16:04
Directory : d:\Development\Collaborative_development\flugo\flugo_mobile\lib
Total : 89 files,  3946 codes, 438 comments, 593 blanks, all 4977 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\authentication_blocs\sign_up_bloc\sign_up_event.dart               | Dart     |         15 |         17 |          9 |         41 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\authentication_blocs\sign_up_bloc\sign_up_state.dart               | Dart     |         29 |         12 |          9 |         50 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\authentication_blocs\validation_mixin.dart                         | Dart     |         35 |          4 |          9 |         48 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\home_bloc\home_bloc.dart                                           | Dart     |         50 |          3 |         13 |         66 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\home_bloc\home_event.dart                                          | Dart     |         16 |         12 |         10 |         38 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\home_bloc\home_state.dart                                          | Dart     |         38 |         14 |         11 |         63 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\joke_create_bloc\joke_create_bloc.dart                             | Dart     |         46 |          3 |          9 |         58 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\joke_create_bloc\joke_create_event.dart                            | Dart     |         19 |         14 |         11 |         44 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\joke_create_bloc\joke_create_state.dart                            | Dart     |         26 |          7 |          7 |         40 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\joke_create_bloc\joke_form_status.dart                             | Dart     |          7 |          7 |          5 |         19 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\nav_bar_cubit\nav_bar_cubit.dart                                   | Dart     |          6 |          3 |          4 |         13 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\nav_bar_cubit\nav_bar_cubit_state.dart                             | Dart     |          5 |          3 |          3 |         11 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\user_bloc\user_bloc.dart                                           | Dart     |         19 |          2 |          4 |         25 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\user_bloc\user_event.dart                                          | Dart     |          7 |          5 |          5 |         17 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\user_bloc\user_state.dart                                          | Dart     |          8 |          6 |          6 |         20 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\repositories\auth_repository.dart                                        | Dart     |         47 |          5 |          7 |         59 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\repositories\jokes_repository.dart                                       | Dart     |         21 |          3 |          6 |         30 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\repositories\models\joke\get_jokes_parameters.dart                       | Dart     |          5 |         10 |          3 |         18 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\repositories\models\joke\joke.dart                                       | Dart     |         27 |          8 |          7 |         42 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\repositories\models\user\user.dart                                       | Dart     |         42 |         13 |         13 |         68 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\repositories\models\user\user_create.dart                                | Dart     |         17 |          8 |          5 |         30 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\repositories\models\user\user_get.dart                                   | Dart     |         14 |          6 |          4 |         24 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\shared\app_colors.dart                                                   | Dart     |         11 |          9 |          9 |         29 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\shared\app_constants.dart                                                | Dart     |         11 |         12 |          9 |         32 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\shared\components\circle_painter.dart                                    | Dart     |         32 |          8 |         12 |         52 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\shared\theme.dart                                                        | Dart     |         49 |          1 |          3 |         53 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth_views\components\auth_form_field.dart                         | Dart     |         69 |          6 |          8 |         83 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth_views\components\background_auth_view_circles.dart            | Dart     |         73 |          4 |         10 |         87 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth_views\components\custom_elevated_button.dart                  | Dart     |         29 |          4 |          5 |         38 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth_views\components\icons_row.dart                               | Dart     |         28 |          2 |          4 |         34 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth_views\components\password_form_field.dart                     | Dart     |         75 |          4 |          7 |         86 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth_views\components\service_auth_icon.dart                       | Dart     |         28 |          3 |          4 |         35 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth_views\components\sign_in_form.dart                            | Dart     |        147 |         26 |         14 |        187 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth_views\components\sign_in_navigation_text.dart                 | Dart     |         39 |          2 |          3 |         44 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth_views\components\sign_up_form.dart                            | Dart     |        173 |         15 |         16 |        204 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth_views\components\sign_up_navigation_text.dart                 | Dart     |         36 |          2 |          3 |         41 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth_views\components\title_text.dart                              | Dart     |         37 |          2 |          7 |         46 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth_views\display_name_create_view.dart                           | Dart     |          8 |          4 |          3 |         15 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth_views\sign_in_view.dart                                       | Dart     |         38 |          2 |          3 |         43 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth_views\sign_up_view.dart                                       | Dart     |         38 |          2 |          3 |         43 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\home\components\background_home_view_circles.dart                  | Dart     |         62 |          4 |          9 |         75 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\home\components\clear_button.dart                                  | Dart     |         41 |          4 |          8 |         53 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\home\components\filter_options_menu\ascending_sort_chip.dart       | Dart     |         80 |          3 |          9 |         92 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\home\components\filter_options_menu\descending_sort_chip.dart      | Dart     |         73 |          4 |          9 |         86 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\home\components\filter_options_menu\filter_options_menu.dart       | Dart     |         81 |          2 |          6 |         89 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\home\components\filter_options_menu\refresh_jokes_button.dart      | Dart     |         53 |          2 |          4 |         59 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\home\components\filter_options_menu\search_by_dropdown_button.dart | Dart     |         62 |          4 |          4 |         70 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\home\components\filter_options_menu\show_more_button.dart          | Dart     |         44 |          4 |          5 |         53 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\home\components\filter_options_menu\show_only_liked_button.dart    | Dart     |         79 |          4 |          9 |         92 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\home\components\jokes_list.dart                                    | Dart     |         64 |          2 |          8 |         74 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\home\components\jokes_list_element.dart                            | Dart     |         73 |          3 |          5 |         81 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\home\components\jokes_search_text_field.dart                       | Dart     |         68 |          2 |          8 |         78 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\home\components\shimmer_loader.dart                                | Dart     |         25 |          2 |          3 |         30 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\home\components\title_section.dart                                 | Dart     |         27 |          2 |          4 |         33 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\home\components\user_info_section.dart                             | Dart     |         33 |          2 |          3 |         38 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\home\components\user_profile_icon.dart                             | Dart     |         59 |          2 |          4 |         65 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\home\home_view.dart                                                | Dart     |         60 |          2 |          6 |         68 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\joke_view\components\background_joke_view_circles.dart             | Dart     |         94 |          4 |         11 |        109 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\joke_view\components\joke_text_view.dart                           | Dart     |         29 |          3 |          4 |         36 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\joke_view\components\joke_title.dart                               | Dart     |         32 |          3 |          4 |         39 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\joke_view\components\options_row.dart                              | Dart     |         43 |          2 |          4 |         49 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\joke_view\components\reactions_row.dart                            | Dart     |         24 |          2 |          3 |         29 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\joke_view\joke_view.dart                                           | Dart     |         46 |          3 |          5 |         54 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\profile\components\background_profile_view_circles.dart            | Dart     |         62 |          4 |          9 |         75 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\profile\components\bio_field.dart                                  | Dart     |         75 |          3 |          9 |         87 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\profile\components\change_avatar_icon.dart                         | Dart     |         39 |          3 |          4 |         46 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\profile\components\user_jokes_list_search_bar.dart                 | Dart     |         65 |          2 |          4 |         71 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\profile\components\user_profile_full_icon.dart                     | Dart     |         33 |          2 |          3 |         38 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\profile\components\username_field.dart                             | Dart     |         37 |          2 |          5 |         44 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\profile\components\users_jokes_list.dart                           | Dart     |         70 |          2 |          4 |         76 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\profile\components\view_user_jokes_button.dart                     | Dart     |         23 |          7 |          3 |         33 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\profile\profile_view.dart                                          | Dart     |         55 |          3 |          7 |         65 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\root_view.dart                                                | Dart     |        107 |          2 |          7 |        116 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\write\components\background_write_view_circles.dart                | Dart     |        105 |          4 |         12 |        121 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\write\components\clear_all_button.dart                             | Dart     |         45 |          2 |          7 |         54 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\write\components\done_button.dart                                  | Dart     |         30 |          3 |          5 |         38 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\write\components\joke_explanation_input_field.dart                 | Dart     |         47 |          3 |          5 |         55 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\write\components\joke_text_input_field.dart                        | Dart     |         50 |          3 |          7 |         60 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\write\components\joke_title_input_field.dart                       | Dart     |         44 |          3 |          5 |         52 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\write\write_view.dart                                              | Dart     |        107 |          2 |         10 |        119 |
| Total                                                                                                                                        |          |      3,946 |        438 |        593 |      4,977 |
+----------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
